Condition,User,Attempt,Objects pushed,Mouse clicks,Drawnline,dist followed,avoid line instances,no interaction distance
B,1,2,1,20,2313,28222,2002,101287
B,1,1,4,22,2749,11075,1311,55617
B,2,1,0,29,2491,10703,1430,59001
B,2,2,5,32,2763,16776,4949,108892
B,3,1,2,52,3838,17725,142,48480
B,3,2,3,48,3998,31046,2461,89870
B,4,1,1,32,3761,18328,2183,46897
B,4,2,4,64,5449,42996,2699,75604
C,1,1,1,42,3338,4866,2439,116985
C,1,2,3,89,7805,8513,17429,123486
C,2,1,1,16,1621,5362,492,127440
C,2,2,3,18,945,29623,2372,106243
C,3,1,4,36,3840,30026,6,102592
C,3,2,1,40,3357,30987,10,95485
C,4,1,3,68,3238,40830,14011,71462
C,4,2,4,60,4116,25788,2961,94933
C,5,1,3,23,1872,20279,25285,105272
C,5,2,2,19,1723,5928,3919,121370
S,1,1,0,55,4938,46321,4574,155939
S,2,1,3,37,4352,71874,9,129452
S,3,1,4,70,1934,39481,995,161589
S,4,1,3,36,2497,34503,1730,168162
S,5,1,5,54,4737,53779,13,111774
S,6,1,2,17,1702,20917,3052,180794
A,1,1,1,0,0,0,0,129367
A,2,1,1,0,0,0,0,137072
A,3,1,3,0,0,0,0,140065
A,4,1,2,0,0,0,0,139260
A,5,1,2,0,0,0,0,139333
