Condition,User,Question,Likert Score
B,1,1,5
B,2,1,5
B,3,1,5
B,4,1,5
B,5,1,5
B,6,1,4
B,7,1,5
B,1,2,3
B,2,2,4
B,3,2,3
B,4,2,2
B,5,2,2
B,6,2,3
B,7,2,2
B,1,3,4
B,2,3,4
B,3,3,3
B,4,3,4
B,5,3,4
B,6,3,3
B,7,3,3
B,1,4,5
B,2,4,5
B,3,4,3
B,4,4,4
B,5,4,3
B,6,4,4
B,7,4,4
B,1,5,5
B,2,5,5
B,3,5,3
B,4,5,5
B,5,5,5
B,6,5,3
B,7,5,5
B,1,6,5
B,2,6,5
B,3,6,4
B,4,6,5
B,5,6,4
B,6,6,4
B,7,6,3
B,1,7,5
B,2,7,5
B,3,7,4
B,4,7,3
B,5,7,5
B,6,7,5
B,7,7,5
B,1,8,5
B,2,8,5
B,3,8,3
B,4,8,5
B,5,8,5
B,6,8,4
B,7,8,4
C,1,1,4
C,2,1,3
C,3,1,5
C,4,1,3
C,1,2,3
C,2,2,1
C,3,2,4
C,4,2,4
C,1,3,5
C,2,3,4
C,3,3,4
C,4,3,4
C,1,4,4
C,2,4,4
C,3,4,4
C,4,4,4
C,1,5,5
C,2,5,5
C,3,5,4
C,4,5,3
C,1,6,5
C,2,6,5
C,3,6,5
C,4,6,3
C,1,7,5
C,2,7,5
C,3,7,5
C,4,7,5
C,1,8,4
C,2,8,5
C,3,8,5
C,4,8,2
D,1,1,5
D,2,1,4
D,3,1,3
D,4,1,4
D,5,1,4
D,1,2,4
D,2,2,3
D,3,2,3
D,4,2,2
D,5,2,4
D,1,3,5
D,2,3,4
D,3,3,4
D,4,3,4
D,5,3,4
D,1,4,3
D,2,4,4
D,3,4,4
D,4,4,2
D,5,4,5
D,1,5,5
D,2,5,5
D,3,5,5
D,4,5,5
D,5,5,5
D,1,6,5
D,2,6,4
D,3,6,5
D,4,6,2
D,5,6,5
D,1,7,5
D,2,7,5
D,3,7,4
D,4,7,4
D,5,7,5
D,1,8,3
D,2,8,5
D,3,8,4
D,4,8,3
D,5,8,4
